,ΚΩΔΙΚΟΣ ΤΟΜΕΑ,ΟΔΟΣ,ΜΕΣΟ,ΑΠΟ,ΕΩΣ,ΑΡΙΘΜΟΣ ΘΕΣΕΩΝ,ΔΙΕΥΘΥΝΣΗ,Latitude,Longitude
109,204,ΠΛΑΤΩΝΟΣ,7,1,11,7,"ΠΛΑΤΩΝΟΣ 7, ΘΕΣΣΑΛΟΝΙΚΗ",40.63516815373376,22.94675713778058
110,205,ΠΛΑΤΩΝΟΣ,17,13,23,6,"ΠΛΑΤΩΝΟΣ 17, ΘΕΣΣΑΛΟΝΙΚΗ",40.63577004783664,22.947282448826776
111,207,ΠΛΑΤΩΝΟΣ,31,25,27,25,"ΠΛΑΤΩΝΟΣ 31, ΘΕΣΣΑΛΟΝΙΚΗ",40.636585488606045,22.94801061364845
112,210,ΠΛΑΤΩΝΟΣ,43,39,47,19,"ΠΛΑΤΩΝΟΣ 43, ΘΕΣΣΑΛΟΝΙΚΗ",40.63736212195676,22.94871421755783
113,211,ΕΥΡΙΠΙΔΟΥ,6,2,8,12,"ΕΥΡΙΠΙΔΟΥ 6, ΘΕΣΣΑΛΟΝΙΚΗ",40.63691231246888,22.95000214633305
114,213,ΑΧΕΙΡΟΠΟΙΗΤΟΥ,5,3,5,11,"ΑΧΕΙΡΟΠΟΙΗΤΟΥ 5, ΘΕΣΣΑΛΟΝΙΚΗ",40.63522937836342,22.94862898046936
115,214,ΧΡΙΣΤΟΠΟΥΛΟΥ,3,1,5,20,"ΧΡΙΣΤΟΠΟΥΛΟΥ 3, ΘΕΣΣΑΛΟΝΙΚΗ",40.63492114314304,22.949032253633256
116,216,ΧΡΙΣΤΟΠΟΥΛΟΥ,14,8,16,7,"ΧΡΙΣΤΟΠΟΥΛΟΥ 14, ΘΕΣΣΑΛΟΝΙΚΗ",40.63557946319106,22.9496530415172
117,218,ΠΕΤΡΟΠΟΥΛΑΚΙΔΩΝ,5,1,7,14,"ΠΕΤΡΟΠΟΥΛΑΚΙΔΩΝ 5, ΘΕΣΣΑΛΟΝΙΚΗ",40.63649682701903,22.950536234043994
118,219,ΣΩΚΡΑΤΟΥΣ,6,2,8,20,"ΣΩΚΡΑΤΟΥΣ 6, ΘΕΣΣΑΛΟΝΙΚΗ",40.63410022593523,22.94884760852245
