,Slot_id,Γενικό Νοσοκομείο Θεσσαλονίκης «Γ. Γεννηματάς»,Λιμάνι,Δημαρχείο Θεσσαλονίκης,Λευκός Πύργος,Αγορά Καπάνι,Λαδάδικα,Πλατεία Άθωνος,Πλατεία Αριστοτέλους,Ροτόντα,Πλατεία Αγίας Σοφίας,Πλατεία Αντιγονιδών,Μουσείο Μακεδονικού Αγώνα,Πλατεία Ναυαρίνου,Πάρκο ΧΑΝΘ,Ιερός Ναός Αγίου Δημητρίου,ΔΕΘ,ΑΠΘ,Άγαλμα Ελευθερίου Βενιζέλου,Ρωμαϊκή Αγορά Θεσσαλονίκης
127,237,318,1369,1207,910,787,1323,635,941,143,509,1181,782,462,1024,724,798,435,753,675
128,238,286,1418,1260,980,817,1362,673,997,171,561,1183,848,534,1083,709,836,450,768,667
129,239,333,1387,1029,753,870,1374,701,942,106,543,1310,737,344,847,880,629,317,866,824
130,240,142,1546,1194,980,960,1500,811,1114,129,686,1328,942,576,1038,848,741,329,914,809
131,242,130,1611,1275,1077,1003,1553,864,1187,227,753,1339,1027,673,1127,845,810,386,943,815
132,245,52,1711,1141,1019,1140,1675,988,1273,250,853,1508,1079,677,1018,1021,659,234,1097,987
133,247,1115,817,1811,1317,182,648,312,615,953,485,393,751,902,1578,315,1527,1240,63,267
134,249,978,2023,358,765,1711,2104,1533,1594,959,1349,2206,1311,935,468,1805,296,706,1752,1745
135,250,1061,1825,119,528,1596,1932,1422,1416,978,1239,2114,1131,819,202,1761,376,787,1662,1695
136,255,716,1155,1601,1197,476,1035,412,816,594,438,744,802,724,1391,274,1235,885,367,224
137,258,770,1039,1563,1129,366,928,291,695,617,333,706,693,665,1344,304,1227,908,283,232
138,16971,1270,1870,101,574,1716,2002,1547,1488,1172,1368,2244,1209,958,276,1921,591,998,1798,1852
139,17161,946,1501,391,221,1290,1607,1119,1091,800,940,1815,807,529,153,1497,430,702,1369,1426
140,17182,812,1610,397,390,1323,1693,1147,1181,701,963,1834,898,542,239,1473,246,551,1381,1407
141,17203,968,1262,616,81,1093,1375,930,859,779,760,1624,577,394,373,1351,617,770,1189,1276
142,17254,837,1373,555,207,1125,1463,953,949,667,773,1649,665,361,321,1330,460,620,1201,1258
143,17361,703,1581,503,434,1252,1648,1074,1142,591,890,1754,864,474,347,1378,220,445,1300,1313
144,17393,891,1187,715,202,977,1283,812,767,688,639,1507,483,278,472,1230,638,718,1069,1155
